IBOV - Carteira do Dia 29/06/23;;;;
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
Quantidade Teórica Total;;;95837345669;100
VALE3;VALE;ON      NM;4035078991;12,866
PETR4;PETROBRAS;PN      N2;4566511125;6,95
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4801630041;6,659
PETR3;PETROBRAS;ON      N2;2990884064;5,085
BBDC4;BRADESCO;PN  EJ  N1;5146612491;4,082
B3SA3;B3;ON  EDJ NM;5733398051;3,94
ELET3;ELETROBRAS;ON      N1;2019004498;3,823
BBAS3;BRASIL;ON      NM;1420731069;3,471
ABEV3;AMBEV S/A;ON;4386652506;3,289
RENT3;LOCALIZA;ON      NM;773535098;2,529
ITSA4;ITAUSA;PN  EJ  N1;5014245900;2,337
WEGE3;WEG;ON  EJ  NM;1260665218;2,272
BPAC11;BTGP BANCO;UNT     N2;1225470424;1,811
RDOR3;REDE D OR;ON      NM;1095177074;1,727
EQTL3;EQUATORIAL;ON      NM;1115920673;1,718
RADL3;RAIADROGASIL;ON      NM;1163955366;1,639
SUZB3;SUZANO S.A.;ON      NM;726823001;1,582
PRIO3;PETRORIO;ON      NM;839159130;1,494
GGBR4;GERDAU;PN      N1;1093112629;1,348
RAIL3;RUMO S.A.;ON      NM;1215642613;1,291
BBDC3;BRADESCO;ON  EJ  N1;1500631902;1,058
CSAN3;COSAN;ON      NM;1171063698;1,014
BBSE3;BBSEGURIDADE;ON      NM;671682536;1,011
LREN3;LOJAS RENNER;ON  EJ  NM;950702967;0,98
UGPA3;ULTRAPAR;ON      NM;1087887681;0,957
VBBR3;VIBRA;ON      NM;1114442976;0,933
ENEV3;ENEVA;ON      NM;1577877205;0,919
SBSP3;SABESP;ON      NM;340002999;0,916
JBSS3;JBS;ON  ED  NM;1134986483;0,914
VIVT3;TELEF BRASIL;ON;423091712;0,891
CMIG4;CEMIG;PN  EJ  N1;1442098974;0,89
HAPV3;HAPVIDA;ON      NM;4324011467;0,882
HYPE3;HYPERA;ON      NM;400842480;0,865
ASAI3;ASSAI;ON      NM;1190824431;0,767
KLBN11;KLABIN S/A;UNT     N2;701899756;0,751
TOTS3;TOTVS;ON      NM;513869896;0,734
NTCO3;GRUPO NATURA;ON      NM;838904847;0,694
CCRO3;CCR SA;ON      NM;998462635;0,679
EMBR3;EMBRAER;ON      NM;734632205;0,658
ALSO3;ALIANSCSONAE;ON      NM;532365440;0,635
CPLE6;COPEL;PNB     N2;1563365506;0,602
ELET6;ELETROBRAS;PNB     N1;275526814;0,59
ENGI11;ENERGISA;UNT     N2;248477689;0,587
TIMS3;TIM;ON  EJ  NM;808436195;0,566
EGIE3;ENGIE BRASIL;ON      NM;255208461;0,564
SANB11;SANTANDER BR;UNT;355642848;0,528
MGLU3;MAGAZ LUIZA;ON      NM;2874188573;0,474
BRFS3;BRF SA;ON      NM;1076512610;0,44
TAEE11;TAESA;UNT     N2;218568234;0,401
GOAU4;GERDAU MET;PN      N1;667194478;0,389
BRKM5;BRASKEM;PNA     N1;265212486;0,371
CSNA3;SID NACIONAL;ON;589695175;0,371
MULT3;MULTIPLAN;ON      N2;266933994;0,364
RRRP3;3R PETROLEUM;ON      NM;234689601;0,346
AZUL4;AZUL;PN      N2;327646296;0,345
FLRY3;FLEURY;ON      NM;422811447;0,325
CPFE3;CPFL ENERGIA;ON      NM;187732538;0,31
SOMA3;GRUPO SOMA;ON      NM;490736222;0,287
CRFB3;CARREFOUR BR;ON      NM;528743156;0,285
ENBR3;ENERGIAS BR;ON      NM;246028184;0,285
COGN3;COGNA ON;ON      NM;1815524541;0,276
BRAP4;BRADESPAR;PN      N1;251008334;0,274
RAIZ4;RAIZEN;PN      N2;1200488532;0,26
YDUQ3;YDUQS PART;ON      NM;296015511;0,26
CYRE3;CYRELA REALT;ON      NM;274142301;0,257
SMTO3;SAO MARTINHO;ON  EJ  NM;143294210;0,246
CIEL3;CIELO;ON      NM;1095401258;0,244
IGTI11;IGUATEMI S.A;UNT     N1;215741055;0,237
CMIN3;CSNMINERACAO;ON      N2;1110550596;0,233
ARZZ3;AREZZO CO;ON      NM;60758326;0,226
SLCE3;SLC AGRICOLA;ON      NM;105899222;0,194
USIM5;USIMINAS;PNA     N1;515014562;0,181
LWSA3;LOCAWEB;ON      NM;430758874;0,178
IRBR3;IRBBRASIL RE;ON      NM;81445253;0,168
VIIA3;VIA;ON      NM;1576975642;0,168
MRVE3;MRV;ON      NM;305322465;0,16
GOLL4;GOL;PN      N2;218221868;0,136
BEEF3;MINERVA;ON      NM;260340982;0,13
PCAR3;P.ACUCAR-CBD;ON      NM;157889627;0,126
DXCO3;DEXCO;ON      NM;274863424;0,108
PETZ3;PETZ;ON      NM;335865260;0,103
MRFG3;MARFRIG;ON      NM;292587273;0,1
ALPA4;ALPARGATAS;PN      N1;201952502;0,091
EZTC3;EZTEC;ON      NM;94318339;0,081
CVCB3;CVC BRASIL;ON  ATZ NM;275967676;0,046
CASH3;MELIUZ;ON      NM;69155277;0,026
Redutor;;;17395637,7524038;
